title,author,description,date,URL
"How To Tango With Django 1.7","Leif Azzopardi and David Maxwell","Everything you need to know about building websites using Django","2012-12-20","http://www.tangowithdjango.com/book17/"
"Ruby on Rails 4.0 Guide","Stefan Wintermeyer","Basic guide to developing using Ruby on Rails","2013-07-20","http://www.xyzpub.com/en/ruby-on-rails/4.0/"
"Vapor 3 Tutorial For Beginners","Tibor Bödecs","Beginner's guide for making server side Swift applications using the Vapor 3 framework","2018-04-09","https://theswiftdev.com/2018/04/09/vapor-3-tutorial-for-beginners/"
